,Country,date,confirmed,tests,cases/100 tests,media2days,media3days,cumulative
104,South Korea,2020-03-29,105,6216,1.68918918918919,1.51040999043553,1.25931817261806,8691
105,South Korea,2020-03-30,78,1053,7.40740740740741,4.5482982982983,3.47607579609282,8769
106,South Korea,2020-03-31,125,15370,0.81327260897853,4.11034000819297,3.30328973519171,8894
107,South Korea,2020-04-01,0,10983,0,0.406636304489265,2.74022667212865,8894
108,South Korea,2020-04-02,190,10196,1.86347587289133,0.931737936445665,0.89224949395662,9084
109,South Korea,2020-04-03,86,11530,0.745880312228968,1.30467809256015,0.869785395040099,9170
110,South Korea,2020-04-04,94,NA,NA,NA,NA,9264
111,UK,2020-02-26,0,337,0,NA,NA,0
112,UK,2020-02-27,0,558,0,0,NA,0
113,UK,2020-02-28,3,1296,0.231481481481481,0.115740740740741,0.0771604938271605,3
114,UK,2020-02-29,2,1497,0.133600534402138,0.18254100794181,0.12169400529454,5
115,UK,2020-03-01,5,1267,0.394632991318074,0.264116762860106,0.253238335733898,10
116,UK,2020-03-02,13,1775,0.732394366197183,0.563513678757629,0.420209297305798,23
117,UK,2020-03-03,4,386,1.03626943005181,0.884331898124498,0.721098929189024,27
118,UK,2020-03-04,11,2748,0.400291120815138,0.718280275433476,0.722984972354712,38
119,UK,2020-03-05,34,1424,2.3876404494382,1.39396578512667,1.27473366676838,72
120,UK,2020-03-06,30,2255,1.33037694013304,1.85900869478562,1.37276950346213,102
121,UK,2020-03-07,48,1122,4.27807486631016,2.8042259032216,2.6653640852938,150
122,UK,2020-03-08,43,2053,2.09449585971749,3.18628536301382,2.56764922205356,193
123,UK,2020-03-09,67,1447,4.63026952315135,3.36238269143442,3.667613416393,260
124,UK,2020-03-10,48,1301,3.68946963873943,4.15986958094539,3.47141167386942,308
125,UK,2020-03-11,52,1215,4.2798353909465,3.98465251484297,4.19985818427909,360
126,UK,2020-03-12,83,2288,3.62762237762238,3.95372888428444,3.86564246910277,443
127,UK,2020-03-13,134,3007,4.45626870635185,4.04194554198711,4.12124215830691,577
128,UK,2020-03-14,117,4975,2.35175879396985,3.40401375016085,3.47854995931469,694
129,UK,2020-03-15,433,2533,17.0943545203316,9.72305665715074,7.96746067355111,1127
130,UK,2020-03-16,251,3826,6.56037637219028,11.827365446261,8.66882989549725,1378
131,UK,2020-03-17,152,6337,2.39861133028247,4.47949385123637,8.68444740760146,1530
132,UK,2020-03-18,407,5779,7.04274095864336,4.72067614446292,5.33390955370537,1937
133,UK,2020-03-19,680,8400,8.09523809523809,7.56898952694073,5.84553012805464,2617
134,UK,2020-03-20,647,2355,27.4734607218684,17.7843494085532,14.2038132585833,3264
135,UK,2020-03-21,706,5842,12.0849024306744,19.7791815762714,15.8845337492603,3970
136,UK,2020-03-22,1035,5522,18.7432089822528,15.4140557064636,19.4338573782652,5005
137,UK,2020-03-23,665,5605,11.864406779661,15.3038078809569,14.2308393975294,5670
138,UK,2020-03-24,967,6491,14.8975504544754,13.3809786170682,15.1683887387964,6637
139,UK,2020-03-25,1427,6583,21.6770469390855,18.2872986967805,16.1463347244073,8064
140,UK,2020-03-26,1452,7847,18.5038868357334,20.0904668874095,18.3594947430981,9516
141,UK,2020-03-27,2129,8911,23.8918190999888,21.1978529678611,21.3575842916026,11645
142,UK,2020-03-28,2885,6999,41.2201743106158,32.5559967053023,27.8719600821127,14530
143,UK,2020-03-29,2546,6961,36.5752047119667,38.8976895112912,33.8957327075237,17076
144,UK,2020-03-30,2433,7209,33.7494798168955,35.1623422644311,37.1816196131593,19509
145,UK,2020-03-31,2619,8240,31.7839805825243,32.7667301997099,34.0362217037955,22128
146,UK,2020-04-01,3009,9793,30.7260287960788,31.2550046893016,32.0864963984995,25137
147,UK,2020-04-02,4324,10215,42.3299069995105,36.5279678977947,34.9466387927045,29461
148,UK,2020-04-03,4244,10590,40.0755429650614,41.202724982286,37.7104929202169,33705
149,Netherlands,2020-02-28,1,NA,NA,NA,NA,1
150,Netherlands,2020-02-29,1,NA,NA,NA,NA,2
151,Netherlands,2020-03-01,5,NA,NA,NA,NA,7
152,Netherlands,2020-03-02,6,NA,NA,NA,NA,13
153,Netherlands,2020-03-03,5,NA,NA,NA,NA,18
154,Netherlands,2020-03-04,10,NA,NA,NA,NA,28
155,Netherlands,2020-03-05,10,NA,NA,NA,NA,38
156,Netherlands,2020-03-06,44,NA,NA,NA,NA,82
157,Netherlands,2020-03-07,46,NA,NA,NA,NA,128
158,Netherlands,2020-03-08,60,NA,NA,NA,NA,188
159,Netherlands,2020-03-09,77,NA,NA,NA,NA,265
160,Netherlands,2020-03-10,56,NA,NA,NA,NA,321
161,Netherlands,2020-03-11,61,NA,NA,NA,NA,382
162,Netherlands,2020-03-12,121,NA,NA,NA,NA,503
163,Netherlands,2020-03-13,111,NA,NA,NA,NA,614
164,Netherlands,2020-03-14,190,NA,NA,NA,NA,804
165,Netherlands,2020-03-15,155,1585,9.77917981072555,NA,NA,959
166,Netherlands,2020-03-16,176,2549,6.90466849744998,8.34192415408777,NA,1135
167,Netherlands,2020-03-17,278,3686,7.54205100379816,7.22335975062407,8.0752997706579,1413
168,Netherlands,2020-03-18,292,3224,9.05707196029777,8.29956148204796,7.83459715384863,1705
169,Netherlands,2020-03-19,346,3159,10.9528331750554,10.0049525676766,9.18398537971711,2051
170,Netherlands,2020-03-20,409,3662,11.1687602403058,11.0607967076806,10.392888458553,2460
171,Netherlands,2020-03-21,534,2098,25.4528122020972,18.3107862212015,15.8581352058195,2994
172,Netherlands,2020-03-22,637,2856,22.3039215686275,23.8783668853623,19.6418313370102,3631
