"","Country","Code","Date","DeathsTotal","NewDeaths"
"6348","Nigeria","NGA",2020-01-21,0,NA
"6349","Nigeria","NGA",2020-01-22,0,NA
"6350","Nigeria","NGA",2020-01-23,0,NA
"6351","Nigeria","NGA",2020-01-24,0,NA
"6352","Nigeria","NGA",2020-01-25,0,NA
"6353","Nigeria","NGA",2020-01-26,0,NA
"6354","Nigeria","NGA",2020-01-27,0,NA
"6355","Nigeria","NGA",2020-01-28,0,NA
"6356","Nigeria","NGA",2020-01-29,0,NA
"6357","Nigeria","NGA",2020-01-30,0,NA
"6358","Nigeria","NGA",2020-01-31,0,NA
"6359","Nigeria","NGA",2020-02-01,0,NA
"6360","Nigeria","NGA",2020-02-02,0,NA
"6361","Nigeria","NGA",2020-02-03,0,NA
"6362","Nigeria","NGA",2020-02-04,0,NA
"6363","Nigeria","NGA",2020-02-05,0,NA
"6364","Nigeria","NGA",2020-02-06,0,NA
"6365","Nigeria","NGA",2020-02-07,0,NA
"6366","Nigeria","NGA",2020-02-08,0,NA
"6367","Nigeria","NGA",2020-02-09,0,NA
"6368","Nigeria","NGA",2020-02-10,0,NA
"6369","Nigeria","NGA",2020-02-11,0,NA
"6370","Nigeria","NGA",2020-02-12,0,NA
"6371","Nigeria","NGA",2020-02-13,0,NA
"6372","Nigeria","NGA",2020-02-14,0,NA
"6373","Nigeria","NGA",2020-02-15,0,NA
"6374","Nigeria","NGA",2020-02-16,0,NA
"6375","Nigeria","NGA",2020-02-17,0,NA
"6376","Nigeria","NGA",2020-02-18,0,NA
"6377","Nigeria","NGA",2020-02-19,0,NA
"6378","Nigeria","NGA",2020-02-20,0,NA
"6379","Nigeria","NGA",2020-02-21,0,NA
"6380","Nigeria","NGA",2020-02-22,0,NA
"6381","Nigeria","NGA",2020-02-23,0,NA
"6382","Nigeria","NGA",2020-02-24,0,NA
"6383","Nigeria","NGA",2020-02-25,0,NA
"6384","Nigeria","NGA",2020-02-26,0,NA
"6385","Nigeria","NGA",2020-02-27,0,NA
